;Weighted;Overall;V_measure;Rand;F1;Type;Amount_senses;Cluster_Estimation;Model
Avocat;0.3392857142857143;0.4047619047619047;0.2728658422681051;0.0833341022116014;0.4469696969696969;Noun;2.0;1.0;Camembert
Bien;0.4487450152474783;0.5816326530612245;0.1289241749846962;0.0970987396243637;0.5101562152755221;Noun;3.0;0.0;Camembert
Bureau;0.5425044091710758;0.6990291262135923;0.2585039275764987;0.2443067013782976;0.6621762509335325;Noun;3.0;0.0;Camembert
Faculté;0.5841269841269842;0.65;0.3446130483847773;0.1990034020068592;0.6171237373737373;Noun;3.0;1.0;Camembert
Filer;0.7204328686720469;0.6875;0.437478778669098;0.2924094066449075;0.715466341248173;Verb;3.0;0.0;Camembert
Glace;0.1577574967405476;0.3577235772357723;0.1033430934093369;-0.0559997864366389;0.270210321668434;Noun;5.0;-2.0;Camembert
Souris;0.4938271604938271;0.6470588235294118;0.2977991402303793;0.1556220231527209;0.590614186851211;Noun;3.0;0.0;Camembert
Supporter;0.6246031746031746;0.6;0.2877788613245726;0.1508720001345419;0.6043837585339561;Verb;3.0;0.0;Camembert
Tirer;0.7531531531531532;0.8461538461538461;0.416075654870477;0.4474376199616123;0.8410535117056857;Verb;2.0;1.0;Camembert
Tour;0.175;0.2432432432432432;0.1367913106829803;-0.0126794442867433;0.1427927927927927;Noun;5.0;-2.0;Camembert
Vol;0.5216666666666666;0.6705882352941176;0.1607949817678023;0.0406482328867134;0.6395204504859072;Noun;2.0;1.0;Camembert
Average_nouns;0.4078641808415367;0.5317546954174084;0.212954439913072;0.0939167463171467;0.4849454565438543;;;;Camembert
Average_verbs;0.6993963988094581;0.7112179487179487;0.3804444316213826;0.2969063422470206;0.7203012038292714;;;;Camembert
Global_average;0.4873729675600607;0.5806992190448285;0.2586335285607931;0.1492775452071124;0.5491333876216953;;;;Camembert
Avocat;0.4153439153439153;0.4698795180722891;0.2861970025160746;0.0948653220058708;0.5337690631808278;Noun;2.0;1.0;Flaubert
Bien;0.3462585034013605;0.4897959183673469;0.0414046014546975;-0.0008028424740723;0.3579572674140078;Noun;3.0;0.0;Flaubert
Bureau;0.4128747795414462;0.6019417475728155;0.1630196741030239;0.0619018369204992;0.5170578381396689;Noun;3.0;0.0;Flaubert
Faculté;0.4798798798798798;0.5375;0.2509389470613473;0.1295738672577592;0.4248227689741451;Noun;3.0;0.0;Flaubert
Filer;0.7149425287356322;0.7604166666666666;0.5166843874462064;0.4019519268306285;0.7334401709401708;Verb;3.0;0.0;Flaubert
Glace;0.2305519339417644;0.3658536585365853;0.0872432121826722;-0.0218012803595382;0.3113553113553113;Noun;5.0;-2.0;Flaubert
Souris;0.334926324173636;0.4558823529411764;0.0434783847482974;-0.0082784344088639;0.3103504288313263;Noun;3.0;0.0;Flaubert
Supporter;0.3432098765432099;0.5;0.0603603877879756;-0.0038567020911895;0.3638361462728551;Verb;3.0;0.0;Flaubert
Tirer;0.6657657657657658;0.75;0.3326530008149219;0.2660287081339713;0.774975024975025;Verb;2.0;1.0;Flaubert
Tour;0.2142857142857142;0.3287671232876712;0.0558625036414154;0.0060858720003695;0.1797532303507237;Noun;5.0;-2.0;Flaubert
Vol;0.62;0.7764705882352941;0.2881014817457719;0.3040065054890064;0.7366893626520817;Noun;2.0;1.0;Flaubert
Average_nouns;0.3817651313209645;0.5032613633766473;0.1520307259316625;0.0706938558038788;0.4214694088622616;;;;Flaubert
Average_verbs;0.5746393903482027;0.6701388888888888;0.3032325920163679;0.2213746442911367;0.6240837807293503;;;;Flaubert
Global_average;0.4343672019647568;0.5487734157890768;0.1932675985002186;0.1117886163004037;0.4767278739169222;;;;Flaubert
