;Rand;Rand
Model;Camembert;Flaubert
Average_nouns;0.0939167463171467;0.0706938558038788
Average_verbs;0.2969063422470206;0.2213746442911367
Avocat;0.0833341022116014;0.0948653220058708
Bien;0.0970987396243637;-0.0008028424740723
Bureau;0.2443067013782976;0.0619018369204992
Faculté;0.1990034020068592;0.1295738672577592
Filer;0.2924094066449075;0.4019519268306285
Glace;-0.0559997864366389;-0.0218012803595382
Global_average;0.1492775452071124;0.1117886163004037
Souris;0.1556220231527209;-0.0082784344088639
Supporter;0.1508720001345419;-0.0038567020911895
Tirer;0.4474376199616123;0.2660287081339713
Tour;-0.0126794442867433;0.0060858720003695
Vol;0.0406482328867134;0.3040065054890064
