;Overall;Overall
Model;Camembert;Flaubert
Average_nouns;0.5317546954174084;0.5032613633766473
Average_verbs;0.7112179487179487;0.6701388888888888
Avocat;0.4047619047619047;0.4698795180722891
Bien;0.5816326530612245;0.4897959183673469
Bureau;0.6990291262135923;0.6019417475728155
Faculté;0.65;0.5375
Filer;0.6875;0.7604166666666666
Glace;0.3577235772357723;0.3658536585365853
Global_average;0.5806992190448285;0.5487734157890768
Souris;0.6470588235294118;0.4558823529411764
Supporter;0.6;0.5
Tirer;0.8461538461538461;0.75
Tour;0.2432432432432432;0.3287671232876712
Vol;0.6705882352941176;0.7764705882352941
