;F1;F1
Model;Camembert;Flaubert
Average_nouns;0.4849454565438543;0.4214694088622616
Average_verbs;0.7203012038292714;0.6240837807293503
Avocat;0.4469696969696969;0.5337690631808278
Bien;0.5101562152755221;0.3579572674140078
Bureau;0.6621762509335325;0.5170578381396689
Faculté;0.6171237373737373;0.4248227689741451
Filer;0.715466341248173;0.7334401709401708
Glace;0.270210321668434;0.3113553113553113
Global_average;0.5491333876216953;0.4767278739169222
Souris;0.590614186851211;0.3103504288313263
Supporter;0.6043837585339561;0.3638361462728551
Tirer;0.8410535117056857;0.774975024975025
Tour;0.1427927927927927;0.1797532303507237
Vol;0.6395204504859072;0.7366893626520817
