;Weighted;Overall;V_measure;Rand;F1;Type;Amount_senses;Cluster_Estimation
Avocat;0.41534391534391535;0.46987951807228917;0.28619700251607466;0.09486532200587083;0.5337690631808278;Noun;2;1
Bien;0.34625850340136055;0.4897959183673469;0.04140460145469759;-0.0008028424740723052;0.35795726741400785;Noun;3;0
Bureau;0.4128747795414462;0.6019417475728155;0.1630196741030239;0.061901836920499234;0.5170578381396689;Noun;3;0
Faculté;0.47987987987987984;0.5375;0.25093894706134734;0.1295738672577592;0.42482276897414517;Noun;3;0
Filer;0.7149425287356322;0.7604166666666666;0.5166843874462064;0.4019519268306285;0.7334401709401708;Verb;3;0
Glace;0.23055193394176446;0.36585365853658536;0.08724321218267223;-0.021801280359538263;0.31135531135531136;Noun;5;-2
Souris;0.334926324173636;0.45588235294117646;0.04347838474829742;-0.00827843440886398;0.31035042883132635;Noun;3;0
Supporter;0.3432098765432099;0.5;0.06036038778797564;-0.0038567020911895785;0.3638361462728551;Verb;3;0
Tirer;0.6657657657657658;0.75;0.3326530008149219;0.2660287081339713;0.774975024975025;Verb;2;1
Tour;0.21428571428571427;0.3287671232876712;0.05586250364141548;0.00608587200036954;0.17975323035072377;Noun;5;-2
Vol;0.62;0.7764705882352941;0.28810148174577194;0.3040065054890064;0.7366893626520817;Noun;2;1
Average_nouns;0.38176513132096457;0.5032613633766473;0.15203072593166256;0.07069385580387882;0.42146940886226164;;;
Average_verbs;0.5746393903482027;0.6701388888888888;0.30323259201636793;0.22137464429113674;0.6240837807293503;;;
Global_average;0.4343672019647568;0.5487734157890768;0.1932675985002186;0.11178861630040372;0.47672787391692223;;;
