;V_measure;V_measure
Model;Camembert;Flaubert
Average_nouns;0.6000045559219389;0.2382200410985882
Average_verbs;0.6834846874683572;0.1763253384112768
Avocat;0.673013991940131;0.3227314723273998
Bien;0.6464984284340453;0.1243336003889147
Bureau;0.412859145685326;0.0704960675292033
Faculté;0.6590790808687689;0.4295448090592027
Filer;0.9554928955680964;0.2671021338134137
Glace;0.7023313562856619;0.1487395908383962
Global_average;0.6227718645255077;0.2213396676384124
Souris;0.6885598700400486;0.3068378322915465
Supporter;0.5723182860422809;0.1460829707277923
Tirer;0.5226428807946941;0.1157909106926246
Tour;0.4381248117702465;0.1262607653540058
Vol;0.5795697623512835;0.3768161910000364
