;Weighted;Overall;V_measure;Rand;F1;Type;Amount_senses;Cluster_Estimation
Avocat;0.48214285714285715;0.6309523809523809;0.03386430339217823;-0.0009347258096192235;0.5404014410705095;Noun;2;1
Bien;0.35258034248182035;0.5;0.016005252980802777;0.007252247978742715;0.3819382298373895;Noun;3;0
Bureau;0.32821869488536154;0.49514563106796117;0.03917781894905953;-0.03262858440292228;0.3993277636049281;Noun;3;0
Faculté;0.33912483912483915;0.4625;0.03477162624748008;-0.011801726269702795;0.33166571510134174;Noun;3;0
Filer;0.3588041085840059;0.5;0.04310747859269499;0.004202835782565545;0.375750909718301;Verb;3;0
Glace;0.22000000000000003;0.4959349593495935;0.056511121151813;0.027376470440163798;0.34626520666769933;Noun;5;-2
Souris;0.33440860215053764;0.4264705882352941;0.05409257878465904;0.02338457827780675;0.29411764705882354;Noun;3;0
Supporter;0.3611111111111111;0.5272727272727272;0.09558323863343274;0.04087053437356095;0.38553051886385215;Verb;3;0
Tirer;0.4963963963963964;0.6923076923076923;0.021371731271405472;-0.006512030944544641;0.5987096595932803;Verb;2;1
Tour;0.22857142857142856;0.35135135135135137;0.08271201171691556;0.012280217727962252;0.21116642958748222;Noun;5;-2
Vol;0.45;0.6352941176470588;0.05754637900735757;-0.06503163629191742;0.5484553533643673;Noun;2;1
Average_nouns;0.34188084554460557;0.499706128575455;0.046835136528783225;-0.0050128947936857755;0.38166722328656766;;;
Average_verbs;0.4054372053638378;0.5731934731934732;0.05335414949917774;0.012853779737193953;0.45333036272514454;;;
Global_average;0.359214398222578;0.5197481316530964;0.04861304915707263;-0.00014016537617312188;0.401211715860725;;;
