;Weighted;Overall;V_measure;Rand;F1;Type;Amount_senses;Cluster_Estimation
Avocat;0.6834415584415584;0.6385542168674698;0.1314111364894379;0.0765821097718794;0.6572958500669344;Noun;2;2
Bien;0.3563218390804597;0.5204081632653061;0.03781952089181442;0.022865963046638457;0.37726757369614516;Noun;3;-1
Bureau;0.281657848324515;0.42718446601941745;0.034142118370498555;-0.03212274379390031;0.3492598268615262;Noun;3;0
Faculté;0.37069927069927067;0.4375;0.06784284932482743;0.03831643988476376;0.44922803989259685;Noun;3;2
Filer;0.6844460748349229;0.6875;0.38819904917194076;0.36357917185864225;0.690173190963219;Verb;3;0
Glace;0.28460089816022016;0.4065040650406504;0.09077862115410701;-0.003469161644843388;0.37777140124342423;Noun;5;-2
Souris;0.4030266825965751;0.5294117647058824;0.06986150540030378;0.031713771268781214;0.4768048128342246;Noun;3;0
Supporter;0.6198412698412699;0.6727272727272727;0.36477655778022455;0.28577029845830526;0.613048128342246;Verb;3;0
Tirer;0.5265765765765766;0.7211538461538461;0.024935495368171523;0.04261781932545619;0.6285914085914086;Verb;2;0
Tour;0.2;0.3287671232876712;0.0;0.0;0.16268888575060017;Noun;5;-4
Vol;0.5116666666666666;0.7058823529411765;0.006256511897639445;0.017362678498684312;0.6042628395569573;Noun;2;0
Average_nouns;0.38642684549615824;0.4992765190159468;0.054764032941078566;0.01890613212900043;0.4318224037378011;;;
Average_verbs;0.6102879737509231;0.6937937062937064;0.2593037007734456;0.23065576321413458;0.6439375759656245;;;
Global_average;0.4474798804747305;0.5523266610007903;0.11054757871354229;0.07665603151585519;0.4896719961635712;;;
