;Weighted;Weighted
Model;Camembert;Flaubert
Average_nouns;0.3952655231072949;0.3864268454961582
Average_verbs;0.5647964073495989;0.6102879737509231
Avocat;0.6428571428571429;0.6834415584415584
Bien;0.393431855500821;0.3563218390804597
Bureau;0.3305114638447972;0.281657848324515
Faculté;0.4221364221364221;0.3706992706992706
Filer;0.5602836879432624;0.6844460748349229
Glace;0.291825293350717;0.2846008981602201
Global_average;0.4415012188097415;0.4474798804747305
Souris;0.4480286738351254;0.4030266825965751
Supporter;0.6309523809523809;0.6198412698412699
Tirer;0.5031531531531532;0.5265765765765766
Tour;0.1833333333333333;0.2
Vol;0.4499999999999999;0.5116666666666666
