;Weighted;Overall;V_measure;Rand;F1;Type;Amount_senses;Cluster_Estimation;Model
Avocat;0.6428571428571429;0.5357142857142857;0.2454071936437748;0.0681673598109153;0.5568421052631579;Noun;2.0;1.0;Camembert
Bien;0.393431855500821;0.4183673469387755;0.0174480125457803;-0.0104159029358254;0.4141215608768922;Noun;3.0;0.0;Camembert
Bureau;0.3305114638447972;0.5145631067961165;0.0082194692701865;-0.0111102946688547;0.371938230395052;Noun;3.0;-1.0;Camembert
Faculté;0.4221364221364221;0.5375;0.0952645450117922;0.1087388796667926;0.4837294727744166;Noun;3.0;0.0;Camembert
Filer;0.5602836879432624;0.6354166666666666;0.5294779108197604;0.3896942372959132;0.6102931717608315;Verb;3.0;1.0;Camembert
Glace;0.291825293350717;0.5365853658536586;0.1297778649906493;0.0925330679447035;0.4377000028493955;Noun;5.0;-2.0;Camembert
Souris;0.4480286738351254;0.5735294117647058;0.3702273080138089;0.31123618060316;0.6129536921151439;Noun;3.0;0.0;Camembert
Supporter;0.6309523809523809;0.6727272727272727;0.6265742488782894;0.4157775469738457;0.5925133689839572;Verb;3.0;0.0;Camembert
Tirer;0.5031531531531532;0.7019230769230769;0.0137975593643625;0.0040323097529109;0.6035233516483517;Verb;2.0;1.0;Camembert
Tour;0.1833333333333333;0.2837837837837837;0.0349642809435698;-0.0256934218892489;0.1745115902419273;Noun;5.0;-2.0;Camembert
Vol;0.4499999999999999;0.5529411764705883;0.0303743176697607;-0.0147228818928866;0.5513085399449036;Noun;2.0;1.0;Camembert
Average_nouns;0.3952655231072949;0.4941230596652392;0.1164603740111653;0.0648416233298444;0.4503881493076112;;;;Camembert
Average_verbs;0.5647964073495989;0.6700223387723389;0.3899499063541374;0.2698346980075566;0.6021099641310469;;;;Camembert
Global_average;0.4415012188097415;0.5420955903308117;0.1910484282865213;0.120748825514675;0.491766826077639;;;;Camembert
Avocat;0.6834415584415584;0.6385542168674698;0.1314111364894379;0.0765821097718794;0.6572958500669344;Noun;2.0;2.0;Flaubert
Bien;0.3563218390804597;0.5204081632653061;0.0378195208918144;0.0228659630466384;0.3772675736961451;Noun;3.0;-1.0;Flaubert
Bureau;0.281657848324515;0.4271844660194174;0.0341421183704985;-0.0321227437939003;0.3492598268615262;Noun;3.0;0.0;Flaubert
Faculté;0.3706992706992706;0.4375;0.0678428493248274;0.0383164398847637;0.4492280398925968;Noun;3.0;2.0;Flaubert
Filer;0.6844460748349229;0.6875;0.3881990491719407;0.3635791718586422;0.690173190963219;Verb;3.0;0.0;Flaubert
Glace;0.2846008981602201;0.4065040650406504;0.090778621154107;-0.0034691616448433;0.3777714012434242;Noun;5.0;-2.0;Flaubert
Souris;0.4030266825965751;0.5294117647058824;0.0698615054003037;0.0317137712687812;0.4768048128342246;Noun;3.0;0.0;Flaubert
Supporter;0.6198412698412699;0.6727272727272727;0.3647765577802245;0.2857702984583052;0.613048128342246;Verb;3.0;0.0;Flaubert
Tirer;0.5265765765765766;0.7211538461538461;0.0249354953681715;0.0426178193254561;0.6285914085914086;Verb;2.0;0.0;Flaubert
Tour;0.2;0.3287671232876712;0.0;0.0;0.1626888857506001;Noun;5.0;-4.0;Flaubert
Vol;0.5116666666666666;0.7058823529411765;0.0062565118976394;0.0173626784986843;0.6042628395569573;Noun;2.0;0.0;Flaubert
Average_nouns;0.3864268454961582;0.4992765190159468;0.0547640329410785;0.0189061321290004;0.4318224037378011;;;;Flaubert
Average_verbs;0.6102879737509231;0.6937937062937064;0.2593037007734456;0.2306557632141345;0.6439375759656245;;;;Flaubert
Global_average;0.4474798804747305;0.5523266610007903;0.1105475787135422;0.0766560315158551;0.4896719961635712;;;;Flaubert
