;V_measure;V_measure
Model;Camembert;Flaubert
Average_nouns;0.1164603740111653;0.0547640329410785
Average_verbs;0.3899499063541374;0.2593037007734456
Avocat;0.2454071936437748;0.1314111364894379
Bien;0.0174480125457803;0.0378195208918144
Bureau;0.0082194692701865;0.0341421183704985
Faculté;0.0952645450117922;0.0678428493248274
Filer;0.5294779108197604;0.3881990491719407
Glace;0.1297778649906493;0.090778621154107
Global_average;0.1910484282865213;0.1105475787135422
Souris;0.3702273080138089;0.0698615054003037
Supporter;0.6265742488782894;0.3647765577802245
Tirer;0.0137975593643625;0.0249354953681715
Tour;0.0349642809435698;0.0
Vol;0.0303743176697607;0.0062565118976394
