;Overall;Overall
Model;Camembert;Flaubert
Average_nouns;0.4941230596652392;0.4992765190159468
Average_verbs;0.6700223387723389;0.6937937062937064
Avocat;0.5357142857142857;0.6385542168674698
Bien;0.4183673469387755;0.5204081632653061
Bureau;0.5145631067961165;0.4271844660194174
Faculté;0.5375;0.4375
Filer;0.6354166666666666;0.6875
Glace;0.5365853658536586;0.4065040650406504
Global_average;0.5420955903308117;0.5523266610007903
Souris;0.5735294117647058;0.5294117647058824
Supporter;0.6727272727272727;0.6727272727272727
Tirer;0.7019230769230769;0.7211538461538461
Tour;0.2837837837837837;0.3287671232876712
Vol;0.5529411764705883;0.7058823529411765
