;Rand;Rand
Model;Camembert;Flaubert
Average_nouns;0.1244544212011529;0.0097624116025367
Average_verbs;0.2925786224603828;0.0510208411007923
Avocat;0.0423861470097884;0.0323638350840973
Bien;0.0041158459333987;0.0056429896953102
Bureau;0.0108366614173228;-0.0103159336351186
Faculté;0.0715218798267243;0.0273670033208473
Filer;0.7090653725091858;0.130389631442039
Glace;0.1618401773991372;-0.0153693847763601
Global_average;0.1703064760900338;0.0210147105566064
Souris;0.7038973218515822;0.0472317446545956
Supporter;-0.0051270141841437;-0.0059557372427403
Tirer;0.1737975090561064;0.0286286291030782
Tour;0.0179793359778482;-0.0175448882119248
Vol;-0.0169419998065781;0.0087239266888466
