;Weighted;Overall;V_measure;Rand;F1;Type;Amount_senses;Cluster_Estimation
Avocat;0.4642857142857143;0.44047619047619047;0.05880525544918243;0.0423861470097884;0.5331621737270005;Noun;2;2
Bien;0.3158339197748065;0.30612244897959184;0.05141775079913944;0.004115845933398797;0.3716947648624668;Noun;3;4
Bureau;0.2368606701940035;0.2524271844660194;0.06423697782036919;0.010836661417322835;0.3270001346501186;Noun;3;5
Faculté;0.4785928785928786;0.4875;0.11878416391152594;0.07152187982672432;0.5023813273018781;Noun;3;0
Filer;0.8698581560283687;0.8229166666666666;0.7977052520845668;0.7090653725091858;0.8842299578059072;Verb;3;1
Glace;0.3923207301173403;0.5284552845528455;0.2727604561110265;0.16184017739913725;0.5013888285050409;Noun;5;-2
Souris;0.7553962564715252;0.8529411764705882;0.6682532564425254;0.7038973218515822;0.8476868057334206;Noun;3;0
Supporter;0.36984126984126986;0.38181818181818183;0.04702928539355346;-0.005127014184143771;0.3856599728257482;Verb;3;0
Tirer;0.645945945945946;0.5384615384615384;0.34938872173608765;0.17379750905610644;0.6170182972367438;Verb;2;4
Tour;0.3255952380952381;0.33783783783783783;0.12231416578547599;0.017979335977848284;0.343338682812367;Noun;5;1
Vol;0.30666666666666664;0.3176470588235294;0.0025941966326286313;-0.016941999806578102;0.3977591036414566;Noun;2;2
Average_nouns;0.40944400927477165;0.44042589770082535;0.1698957778689842;0.12445442120115299;0.4780514776542186;;;
Average_verbs;0.6285484572718615;0.5810654623154622;0.39804108640473596;0.29257862246038285;0.6289694092894664;;;
Global_average;0.46919976781943257;0.4787821425957263;0.23211722565146192;0.17030647609003385;0.5192109135547407;;;
