;Weighted;Overall;V_measure;Rand;F1;Type;Amount_senses;Cluster_Estimation
Avocat;0.9821428571428572;0.9880952380952381;0.9612207762857031;0.9843762708949657;0.9939393939393939;Noun;2;1
Bien;0.39788881069669246;0.5306122448979592;0.04891641241111474;0.04584078433965005;0.41861663920226466;Noun;3;0
Bureau;0.43492063492063493;0.5048543689320388;0.35954365592567894;0.1954102226064259;0.46810090100580776;Noun;3;0
Faculté;0.6457528957528957;0.7875;0.7127621259758337;0.6745745298231968;0.7223615666602354;Noun;3;0
Filer;0.9417583761310834;0.9479166666666666;0.8027362395855916;0.8335698516362822;0.9478444844102059;Verb;3;0
Glace;0.20430247718383315;0.4796747967479675;0.02573766030457959;-0.0033554374437402903;0.3247816922613671;Noun;5;-2
Souris;0.6876543209876543;0.8529411764705882;0.6683821734631158;0.6869083937342145;0.8071853581381336;Noun;3;0
Supporter;0.688888888888889;0.7454545454545455;0.6631276188106127;0.486454164941815;0.6595454545454544;Verb;3;0
Tirer;0.3581081081081081;0.5096153846153846;0.13764795016660317;-0.07990683311677522;0.48040176384125427;Verb;2;1
Tour;0.3476190476190476;0.3918918918918919;0.19967649518760672;0.05817494108875303;0.25748328974135426;Noun;5;-2
Vol;0.9716666666666667;0.9764705882352941;0.8659267350030161;0.9185465833718958;0.982232893157263;Noun;2;1
Average_nouns;0.5839934638712854;0.6890050381588722;0.48027075431958105;0.44505953605192017;0.6218377167632274;;;
Average_verbs;0.6629184577093602;0.7343288655788656;0.5345039361876025;0.41337239448710733;0.6959305675989715;;;
Global_average;0.6055184621907602;0.7013660820006886;0.49506162210176863;0.4364175883524257;0.6420448579002486;;;
